,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Quick Stats,Quick Stats,,,,,,,,,,,,,,,,,,,,,Fixed ,,Variable,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Journal,,,,,,,,,,,Date:,August 19,,,,,Starting Account Balance  ," $ 5,000.00 ",Deposits  ,$0.00,, Total Trades ,48, Winning Trades  ,11,Consecutive Wins  ,2,Expectancy  , $ 0.69 ,, Avg Trade Duration ,"0 days, 8 hours, 9 minutes",,,,,Choose the Type of Commission,,Fixed Commission,,"Forex
Commission",Indices Commission,Stocks Commission,Commodities Commission,,,Crypto Commission,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Closed Position PnL  , $ 33.20 ,,,,,, Losing Trades  ,37,Consecutive Losses  ,8, Profit Factor  , $ 1.04 ,, Avg Winner Duration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Time:,15:32,,,,,% Realized PnL  ,+0.66%,Withdrawals  ,$0.00,, Win Rate ,22.92%, B/E Trades  ,0, Average Win  , $ 74.52 , Max DD %  ,-2.86%,, Avg Loser Duration ,,,,,,TRUE,,$5.00,,$7.00,$0.00,$11.00,$5.00,,,$10.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Account Balance  ," $ 5,033.20 ",,,,,, Average RRR  ,3.51 R, Average Loss  , $ (21.26),Absolute DD %  ,0.00%,, Fees & Commissions , $ -   ,,,,,Fixed,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trade Screenshots,,,,,,,,,,,,
