,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Quick Stats,Quick Stats,,,,,,,,,,,,,,,,,,,,,Fixed ,,Variable,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Journal,,,,,,,,,,,Date:,August 19,,,,,Starting Account Balance  ," $ 5,000.00 ",Deposits  ,$0.00,, Total Trades ,51, Winning Trades  ,18,Consecutive Wins  ,4,Expectancy  , $ 10.44 ,, Avg Trade Duration ,"0 days, 1 hours, 21 minutes",,,,,Choose the Type of Commission,,Fixed Commission,,"Forex
Commission",Indices Commission,Stocks Commission,Commodities Commission,,,Crypto Commission,,,,,
,,,,,,,,,,,,,,,,,,,Closed Position PnL  , $ 564.32 ,,,,,, Losing Trades  ,31,Consecutive Losses  ,17, Profit Factor  , $ 2.15 ,, Avg Winner Duration ,"0 days, 1 hours, 40 minutes",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Time:,15:33,,,,,% Realized PnL  ,+11.29%,Withdrawals  ,$0.00,, Win Rate ,35.29%, B/E Trades  ,2, Average Win  , $ 58.61 , Max DD %  ,-1.47%,, Avg Loser Duration ,"0 days, 1 hours, 13 minutes",,,,,TRUE,,$5.00,,$7.00,$0.00,$11.00,$5.00,,,$10.00,,,,,
,,,,,,,,,,,,,,,,,,,Account Balance  ," $ 5,564.32 ",,,,,, Average RRR  ,3.70 R, Average Loss  , $ (15.83),Absolute DD %  ,-1.47%,, Fees & Commissions , $ -   ,,,,,Fixed,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trade Screenshots,,,,,
